"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39835","Create golf entry from Excel","Chromium","Tue Aug 05 11:00:00 IST 2025","passed","Tue Aug 05 11:00:40 IST 2025","Golf Creation Flow","creategolf.test.js","",""
"","26656","Create restaurant from Excel","Chromium","Tue Aug 05 11:00:41 IST 2025","passed","Tue Aug 05 11:01:07 IST 2025","Restaurant Creation Flow","createrestaurant.test.js","",""
